

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2004 234 02 00 00.000         5.023      -148.805       -15.844       149.730         0.257        -0.282         0.084         0.391
2004 235 02 00 00.000         5.294      -149.184       -15.720       150.103         0.256        -0.242         0.088         0.363
2004 236 02 00 00.000         5.562      -149.506       -15.590       150.419         0.254        -0.202         0.093         0.338
2004 237 02 00 00.000         6.021      -149.750       -15.336       150.653         0.586        -0.126         0.301         0.671
2004 238 02 00 00.000         6.762      -149.906       -14.901       150.796         0.584        -0.086         0.305         0.665
2004 239 02 00 00.000         7.501      -150.006       -14.461       150.888         0.582        -0.047         0.309         0.661
2004 240 02 00 00.000         8.237      -150.051       -14.014       150.929         0.580        -0.008         0.313         0.659
2004 241 02 00 00.000         8.970      -150.040       -13.563       150.919         0.578         0.031         0.317         0.660
2004 242 02 00 00.000         9.699      -149.974       -13.106       150.858         0.576         0.070         0.320         0.662
2004 243 02 00 00.000        10.425      -149.853       -12.645       150.746         0.573         0.109         0.324         0.667
2004 244 02 00 00.000        11.147      -149.675       -12.179       150.583         0.570         0.148         0.327         0.674
2004 245 02 00 00.000        11.865      -149.442       -11.708       150.369         0.567         0.187         0.330         0.683
2004 246 02 00 00.000        12.579      -149.153       -11.233       150.103         0.564         0.227         0.333         0.693
2004 247 02 00 00.000        13.289      -148.808       -10.753       149.786         0.561         0.266         0.336         0.706
2004 248 02 00 00.000        13.994      -148.406       -10.269       149.418         0.557         0.306         0.339         0.721
2004 249 02 00 00.000        14.694      -147.948        -9.781       148.997         0.554         0.346         0.342         0.737
2004 250 02 00 00.000        15.389      -147.433        -9.290       148.524         0.550         0.386         0.344         0.755
2004 251 02 00 00.000        16.079      -146.860        -8.794       147.999         0.546         0.427         0.347         0.775
2004 252 02 00 00.000        16.763      -146.230        -8.296       147.421         0.542         0.467         0.349         0.796
2004 253 02 00 00.000        17.442      -145.542        -7.794       146.790         0.537         0.508         0.351         0.819
2004 254 02 00 00.000        18.114      -144.795        -7.290       146.105         0.532         0.550         0.353         0.843
2004 255 02 00 00.000        18.780      -143.989        -6.782       145.366         0.527         0.592         0.355         0.868
2004 256 02 00 00.000        19.439      -143.123        -6.272       144.573         0.522         0.634         0.357         0.895
2004 257 02 00 00.000        20.091      -142.196        -5.758       143.724         0.517         0.676         0.359         0.924
2004 258 02 00 00.000        20.735      -141.209        -5.243       142.820         0.511         0.720         0.361         0.953
2004 259 02 00 00.000        21.372      -140.160        -4.724       141.858         0.505         0.763         0.362         0.984
2004 260 02 00 00.000        22.000      -139.048        -4.204       140.840         0.498         0.808         0.364         1.016
2004 261 02 00 00.000        22.620      -137.872        -3.682       139.764         0.492         0.853         0.365         1.050
2004 262 02 00 00.000        23.230      -136.632        -3.158       138.629         0.484         0.898         0.366         1.084
2004 263 02 00 00.000        23.831      -135.326        -2.633       137.434         0.477         0.945         0.367         1.120
2004 264 02 00 00.000        24.422      -133.954        -2.106       136.178         0.469         0.992         0.368         1.157
2004 265 02 00 00.000        25.002      -132.513        -1.578       134.860         0.461         1.040         0.369         1.196
2004 266 02 00 00.000        25.571      -131.004        -1.049       133.480         0.452         1.089         0.369         1.235
2004 267 02 00 00.000        26.128      -129.424        -0.520       132.036         0.443         1.139         0.369         1.277
2004 268 02 00 00.000        26.672      -127.772         0.009       130.526         0.433         1.190         0.369         1.319
2004 269 02 00 00.000        27.203      -126.046         0.539       128.949         0.423         1.242         0.369         1.363
2004 270 02 00 00.000        27.720      -124.245         1.068       127.304         0.412         1.296         0.369         1.409
2004 271 02 00 00.000        28.222      -122.366         1.597       125.589         0.400         1.350         0.368         1.456
2004 272 02 00 00.000        28.708      -120.409         2.124       123.802         0.388         1.407         0.367         1.505
2004 273 02 00 00.000        29.178      -118.369         2.650       121.941         0.375         1.465         0.366         1.556
2004 274 02 00 00.000        29.629      -116.246         3.174       120.005         0.361         1.524         0.365         1.608
2004 275 02 00 00.000        30.060      -114.037         3.696       117.990         0.346         1.586         0.363         1.663
2004 276 02 00 00.000        30.471      -111.738         4.215       115.895         0.330         1.649         0.361         1.720
2004 277 02 00 00.000        30.860      -109.346         4.730       113.716         0.313         1.715         0.358         1.780
2004 278 02 00 00.000        31.225      -106.859         5.241       111.451         0.294         1.783         0.355         1.842
2004 279 02 00 00.000        31.564      -104.273         5.748       109.097         0.274         1.854         0.351         1.907
2004 280 02 00 00.000        31.875      -101.583         6.248       106.649         0.253         1.928         0.347         1.975
2004 281 02 00 00.000        32.156       -98.785         6.742       104.105         0.229         2.005         0.342         2.047
2004 282 02 00 00.000        32.403       -95.874         7.228       101.459         0.204         2.086         0.336         2.123
2004 283 02 00 00.000        32.614       -92.844         7.705        98.707         0.176         2.171         0.329         2.203
2004 284 02 00 00.000        32.785       -89.690         8.172        95.843         0.145         2.260         0.322         2.288
2004 285 02 00 00.000        32.912       -86.404         8.626        92.862         0.111         2.355         0.313         2.378
2004 286 02 00 00.000        32.991       -82.978         9.067        89.755         0.074         2.455         0.302         2.475
2004 287 02 00 00.000        33.014       -79.404         9.492        86.516         0.032         2.562         0.290         2.579
2004 288 02 00 00.000        32.977       -75.671         9.897        83.136        -0.015         2.677         0.275         2.691
2004 289 02 00 00.000        32.870       -71.768        10.280        79.603        -0.069         2.800         0.258         2.813
2004 290 02 00 00.000        32.684       -67.680        10.637        75.907        -0.130         2.934         0.238         2.947
2004 291 02 00 00.000        32.406       -63.391        10.962        72.033        -0.200         3.081         0.214         3.095
2004 292 02 00 00.000        32.022       -58.882        11.249        67.963        -0.283         3.242         0.185         3.259
2004 293 02 00 00.000        31.511       -54.129        11.489        63.678        -0.382         3.421         0.149         3.445
2004 294 02 00 00.000        30.847       -49.103        11.671        59.152        -0.501         3.622         0.104         3.658
2004 295 02 00 00.000        29.997       -43.769        11.780        54.354        -0.649         3.852         0.046         3.907
2004 296 02 00 00.000        28.910       -38.080        11.793        49.244        -0.838         4.119        -0.031         4.203
2004 297 02 00 00.000        27.514       -31.975        11.677        43.769        -1.090         4.434        -0.137         4.568
2004 298 02 00 00.000        25.696       -25.371        11.377        37.860        -1.443         4.816        -0.291         5.036
2004 299 02 00 00.000        23.260       -18.157        10.799        31.422        -1.977         5.289        -0.535         5.672
2004 300 02 00 00.000        19.827       -10.180         9.752        24.327        -2.893         5.878        -0.975         6.624
2004 301 02 00 00.000        14.472        -1.745         7.509        16.398        -4.798         5.774        -2.343         7.864
2004 302 02 00 00.000         4.298         5.863         2.407         7.658       -10.496         3.174        -5.394        12.220
2004 303 02 00 00.000        -8.999        -1.177        -4.733        10.236        -4.572        -8.959        -2.633        10.397
2004 304 02 00 00.000       -12.298       -12.696        -6.767        18.927        -0.940        -7.089        -0.682         7.184
2004 305 02 00 00.000       -12.810       -21.808        -7.272        26.317         0.082        -5.736        -0.109         5.738
2004 306 02 00 00.000       -12.350       -29.338        -7.222        32.640         0.531        -4.832         0.151         4.863
2004 307 02 00 00.000       -11.420       -35.760        -6.892        38.167         0.773        -4.169         0.296         4.250
2004 308 02 00 00.000       -10.225       -41.344        -6.398        43.067         0.918        -3.650         0.387         3.783
2004 309 02 00 00.000        -8.867       -46.255        -5.798        47.453         1.009        -3.224         0.446         3.407
2004 310 02 00 00.000        -7.406       -50.606        -5.127        51.401         1.068        -2.862         0.487         3.094
2004 311 02 00 00.000        -5.879       -54.475        -4.406        54.968         1.107        -2.548         0.516         2.825
2004 312 02 00 00.000        -4.311       -57.920        -3.651        58.195         1.131        -2.268         0.536         2.591
2004 313 02 00 00.000        -2.718       -60.986        -2.872        61.114         1.144        -2.016         0.550         2.383
2004 314 02 00 00.000        -1.113       -63.708        -2.076        63.751         1.150        -1.786         0.559         2.197
2004 315 02 00 00.000         0.495       -66.113        -1.270        66.127         1.150        -1.573         0.565         2.029
2004 316 02 00 00.000         2.097       -68.224        -0.458        68.258         1.145        -1.374         0.567         1.876
2004 317 02 00 00.000         3.688       -70.060         0.356        70.157         1.137        -1.186         0.568         1.738
2004 318 02 00 00.000         5.264       -71.634         1.169        71.837         1.125        -1.008         0.566         1.613
2004 319 02 00 00.000         6.819       -72.961         1.977        73.305         1.110        -0.838         0.562         1.500
2004 320 02 00 00.000         8.350       -74.050         2.779        74.571         1.092        -0.675         0.557         1.400
2004 321 02 00 00.000         9.854       -74.909         3.573        75.639         1.073        -0.517         0.550         1.312
2004 322 02 00 00.000        11.327       -75.547         4.356        76.515         1.051        -0.363         0.542         1.237
2004 323 02 00 00.000        12.767       -75.967         5.126        77.203         1.027        -0.213         0.532         1.176
2004 324 02 00 00.000        14.171       -76.176         5.881        77.706         1.000        -0.066         0.522         1.130
2004 325 02 00 00.000        15.536       -76.177         6.621        78.027         0.972         0.079         0.510         1.100
2004 326 02 00 00.000        16.858       -75.972         7.343        78.166         0.941         0.222         0.497         1.087
2004 327 02 00 00.000        18.135       -75.563         8.044        78.124         0.908         0.365         0.482         1.091
2004 328 02 00 00.000        19.363       -74.950         8.724        77.901         0.873         0.507         0.466         1.112
2004 329 02 00 00.000        20.539       -74.134         9.379        77.497         0.835         0.650         0.449         1.149
2004 330 02 00 00.000        21.660       -73.113        10.009        76.908         0.794         0.794         0.430         1.202
2004 331 02 00 00.000        22.720       -71.886        10.610        76.134         0.750         0.939         0.409         1.269
2004 332 02 00 00.000        23.715       -70.449        11.180        75.169         0.702         1.087         0.386         1.350
2004 333 02 00 00.000        24.639       -68.798        11.716        74.010         0.650         1.238         0.361         1.444
2004 334 02 00 00.000        25.488       -66.929        12.214        72.652         0.594         1.393         0.334         1.551
2004 335 02 00 00.000        26.253       -64.835        12.672        71.087         0.532         1.553         0.304         1.669
2004 336 02 00 00.000        26.926       -62.508        13.083        69.307         0.464         1.718         0.270         1.800
2004 337 02 00 00.000        27.497       -59.939        13.444        67.302         0.388         1.892         0.232         1.945
2004 338 02 00 00.000        27.955       -57.116        13.747        65.059         0.303         2.074         0.190         2.104
2004 339 02 00 00.000        28.286       -54.025        13.986        62.565         0.206         2.266         0.142         2.280
2004 340 02 00 00.000        28.470       -50.648        14.150        59.800         0.096         2.472         0.086         2.476
2004 341 02 00 00.000        28.487       -46.965        14.229        56.742        -0.032         2.695         0.022         2.695
2004 342 02 00 00.000        28.306       -42.948        14.206        53.363        -0.184         2.938        -0.055         2.944
2004 343 02 00 00.000        27.888       -38.565        14.062        49.626        -0.368         3.208        -0.149         3.232
2004 344 02 00 00.000        27.179       -33.771        13.768        45.483        -0.597         3.511        -0.266         3.572
2004 345 02 00 00.000        26.099       -28.510        13.283        40.871        -0.895         3.861        -0.418         3.985
2004 346 02 00 00.000        24.525       -22.705        12.542        35.697        -1.301         4.273        -0.627         4.511
2004 347 02 00 00.000        22.247       -16.248        11.437        29.828        -1.904         4.773        -0.937         5.224
2004 348 02 00 00.000        18.850        -8.994         9.754        23.051        -2.928         5.386        -1.466         6.303
2004 349 02 00 00.000        13.413        -1.275         6.477        14.949        -4.992         5.461        -3.147         8.040
2004 350 02 00 00.000         1.639         5.084         0.015         5.341       -13.329        -0.534        -6.170        14.697
2004 351 02 00 00.000        -8.531        -7.838        -2.836        11.928        -1.409        -9.142         0.696         9.276
2004 352 02 00 00.000        -8.684       -18.631        -1.300        20.596         0.667        -6.294         1.236         6.449
2004 353 02 00 00.000        -7.290       -26.498         0.514        27.487         1.207        -4.815         1.271         5.124
2004 354 02 00 00.000        -5.408       -32.669         2.309        33.194         1.415        -3.856         1.227         4.287
2004 355 02 00 00.000        -3.331       -37.668         4.024        38.029         1.502        -3.153         1.165         3.682
2004 356 02 00 00.000        -1.176       -41.776         5.646        42.172         1.533        -2.598         1.098         3.210
2004 357 02 00 00.000         0.995       -45.161         7.171        45.737         1.533        -2.137         1.030         2.824
2004 358 02 00 00.000         3.151       -47.935         8.599        48.802         1.514        -1.741         0.962         2.499
2004 359 02 00 00.000         5.268       -50.177         9.931        51.421         1.483        -1.390         0.896         2.221
2004 360 02 00 00.000         7.333       -51.943        11.168        53.634         1.443        -1.073         0.830         1.981
2004 361 02 00 00.000         9.335       -53.275        12.312        55.470         1.396        -0.781         0.765         1.774
2004 362 02 00 00.000        11.265       -54.205        13.363        56.953         1.343        -0.509         0.700         1.598
2004 363 02 00 00.000        13.114       -54.759        14.320        58.100         1.282        -0.275         0.640         1.459
2004 364 02 00 00.000        14.872       -54.985        15.189        58.951         1.219        -0.029         0.573         1.348
2004 365 02 00 00.000        16.537       -54.866        15.963        59.485         1.151         0.209         0.506         1.275
2004 366 02 00 00.000        18.100       -54.411        16.638        59.707         1.078         0.441         0.436         1.243
2005 001 02 00 00.000        19.553       -53.627        17.212        59.619         0.998         0.669         0.364         1.255
2005 002 02 00 00.000        20.888       -52.518        17.680        59.220         0.912         0.896         0.289         1.311
2005 003 02 00 00.000        22.095       -51.083        18.038        58.507         0.817         1.125         0.210         1.406
2005 004 02 00 00.000        23.162       -49.320        18.279        57.472         0.713         1.357         0.126         1.538
2005 005 02 00 00.000        24.072       -47.221        18.395        56.104         0.598         1.594         0.035         1.703
2005 006 02 00 00.000        24.809       -44.776        18.376        54.388         0.468         1.840        -0.063         1.899
2005 007 02 00 00.000        25.348       -41.972        18.209        52.305         0.321         2.097        -0.172         2.128
2005 008 02 00 00.000        25.662       -38.789        17.877        49.827         0.149         2.370        -0.294         2.393
2005 009 02 00 00.000        25.711       -35.199        17.357        46.918        -0.054         2.665        -0.435         2.701
2005 010 02 00 00.000        25.441       -31.167        16.619        43.529        -0.302         2.989        -0.600         3.063
2005 011 02 00 00.000        24.774       -26.644        15.619        39.593        -0.616         3.352        -0.803         3.501
2005 012 02 00 00.000        23.590       -21.562        14.289        35.008        -1.036         3.771        -1.064         4.053
2005 013 02 00 00.000        21.688       -15.825        12.522        29.624        -1.643         4.270        -1.424         4.792
2005 014 02 00 00.000        18.674        -9.292        10.112        23.180        -2.650         4.883        -1.987         5.900
2005 015 02 00 00.000        13.566        -1.768         6.569        15.176        -4.799         5.593        -3.102         7.996
2005 016 02 00 00.000         2.214         5.086         0.229         5.552       -13.033         0.505        -6.124        14.409
2005 017 02 00 00.000        -8.782        -7.110        -2.954        11.679        -1.869        -9.186         0.578         9.392
2005 018 02 00 00.000        -9.405       -18.002        -1.523        20.368         0.415        -6.371         1.197         6.496
2005 019 02 00 00.000        -8.311       -25.978         0.250        27.276         1.030        -4.890         1.250         5.151
2005 020 02 00 00.000        -6.651       -32.252         2.021        32.993         1.280        -3.927         1.214         4.305
2005 021 02 00 00.000        -4.746       -37.349         3.722        37.833         1.395        -3.219         1.157         3.695
2005 022 02 00 00.000        -2.729       -41.547         5.335        41.977         1.447        -2.660         1.093         3.219
2005 023 02 00 00.000        -0.666       -45.016         6.855        45.540         1.464        -2.195         1.028         2.831
2005 024 02 00 00.000         1.402       -47.869         8.281        48.600         1.460        -1.794         0.962         2.505
2005 025 02 00 00.000         3.452       -50.183         9.614        51.212         1.442        -1.439         0.897         2.226
2005 026 02 00 00.000         5.466       -52.015        10.855        53.416         1.413        -1.118         0.833         1.985
2005 027 02 00 00.000         7.432       -53.407        12.003        55.241         1.376        -0.822         0.769         1.778
2005 028 02 00 00.000         9.340       -54.391        13.059        56.711         1.333        -0.546         0.704         1.603
2005 029 02 00 00.000        11.199       -54.986        14.029        57.842         1.300        -0.280         0.645         1.479
2005 030 02 00 00.000        12.989       -55.215        14.906        58.648         1.245        -0.030         0.579         1.374
2005 031 02 00 00.000        14.695       -55.091        15.689        59.137         1.184         0.213         0.512         1.307
2005 032 02 00 00.000        16.310       -54.625        16.373        59.313         1.117         0.451         0.442         1.283
2005 033 02 00 00.000        17.824       -53.822        16.955        59.177         1.043         0.685         0.370         1.302
2005 034 02 00 00.000        19.228       -52.684        17.432        58.730         0.962         0.919         0.294         1.363
2005 035 02 00 00.000        20.511       -51.211        17.797        57.966         0.873         1.154         0.214         1.463
2005 036 02 00 00.000        21.660       -49.399        18.043        56.877         0.773         1.393         0.129         1.599
2005 037 02 00 00.000        22.658       -47.241        18.163        55.453         0.661         1.639         0.037         1.768
2005 038 02 00 00.000        23.488       -44.726        18.144        53.677         0.534         1.894        -0.064         1.969
2005 039 02 00 00.000        24.123       -41.836        17.974        51.529         0.388         2.162        -0.176         2.203
2005 040 02 00 00.000        24.534       -38.551        17.632        48.980         0.216         2.447        -0.303         2.475
2005 041 02 00 00.000        24.678       -34.841        17.096        45.991         0.011         2.756        -0.449         2.792
2005 042 02 00 00.000        24.496       -30.666        16.332        42.511        -0.244         3.097        -0.623         3.168
2005 043 02 00 00.000        23.904       -25.973        15.290        38.468        -0.572         3.481        -0.838         3.626
2005 044 02 00 00.000        22.768       -20.685        13.897        33.755        -1.019         3.928        -1.119         4.210
2005 045 02 00 00.000        20.855       -14.696        12.028        28.206        -1.684         4.464        -1.515         5.006
2005 046 02 00 00.000        17.695        -7.854         9.440        21.538        -2.845         5.119        -2.157         6.241
2005 047 02 00 00.000        12.125        -0.814         5.335        13.272        -5.425         5.079        -3.642         8.276
2005 048 02 00 00.000        -2.384         2.163        -1.582         3.587       -13.266       -11.969        -2.407        18.029
2005 049 02 00 00.000        -5.159       -13.064         1.309        14.107         1.477        -7.356         2.585         7.936
2005 050 02 00 00.000        -2.411       -21.393         4.695        22.034         2.152        -4.647         2.148         5.553
2005 051 02 00 00.000         0.727       -26.968         7.514        28.004         2.210        -3.245         1.799         4.319
2005 052 02 00 00.000         3.833       -30.915         9.886        32.683         2.138        -2.310         1.519         3.495
2005 053 02 00 00.000         6.797       -33.704        11.889        36.380         2.022        -1.603         1.281         2.881
2005 054 02 00 00.000         9.577       -35.583        13.571        39.269         1.885        -1.027         1.069         2.399
2005 055 02 00 00.000        12.151       -36.701        14.962        41.454         1.736        -0.533         0.874         2.016
2005 056 02 00 00.000        14.504       -37.153        16.081        43.003         1.577        -0.092         0.688         1.723
2005 057 02 00 00.000        16.620       -37.001        16.937        43.956         1.407         0.313         0.507         1.528
2005 058 02 00 00.000        18.483       -36.287        17.535        44.338         1.223         0.696         0.327         1.445
2005 059 02 00 00.000        20.073       -35.036        17.872        44.157         1.023         1.066         0.143         1.485
2005 060 02 00 00.000        21.362       -33.259        17.940        43.409         0.802         1.432        -0.050         1.642
2005 061 02 00 00.000        22.314       -30.956        17.723        42.075         0.551         1.802        -0.255         1.901
2005 062 02 00 00.000        22.879       -28.116        17.205        40.125         0.257         2.184        -0.476         2.250
2005 063 02 00 00.000        22.987       -24.712        16.342        37.498        -0.095         2.591        -0.735         2.695
2005 064 02 00 00.000        22.530       -20.699        15.075        34.107        -0.541         3.036        -1.043         3.256
2005 065 02 00 00.000        21.333       -16.006        13.311        29.807        -1.147         3.542        -1.436         3.991
2005 066 02 00 00.000        19.073       -10.525        10.883        24.351        -2.070         4.142        -1.988         5.039
2005 067 02 00 00.000        15.010        -4.098         7.438        17.246        -3.822         4.854        -2.919         6.833
2005 068 02 00 00.000         6.361         3.032         1.867         7.290        -9.993         4.224        -5.354        12.099
2005 069 02 00 00.000        -5.802        -7.575        -0.404         9.550        -0.053        -9.926         2.654        10.275
2005 070 02 00 00.000        -3.908       -18.108         3.241        18.806         1.949        -5.606         2.335         6.378
2005 071 02 00 00.000        -0.913       -24.729         6.297        25.534         2.173        -3.813         1.945         4.800
2005 072 02 00 00.000         2.182       -29.359         8.860        30.744         2.151        -2.716         1.640         3.833
2005 073 02 00 00.000         5.183       -32.662        11.025        34.860         2.057        -1.924         1.387         3.140
2005 074 02 00 00.000         8.024       -34.960        12.851        38.102         1.934        -1.297         1.166         2.604
2005 075 02 00 00.000        10.676       -36.439        14.376        40.602         1.796        -0.771         0.964         2.179
2005 076 02 00 00.000        13.121       -37.214        15.622        42.439         1.646        -0.308         0.776         1.845
2005 077 02 00 00.000        15.342       -37.359        16.603        43.666         1.485         0.112         0.594         1.603
2005 078 02 00 00.000        17.325       -36.925        17.326        44.315         1.313         0.505         0.414         1.466
2005 079 02 00 00.000        19.051       -35.943        17.789        44.399         1.126         0.879         0.232         1.447
2005 080 02 00 00.000        20.497       -34.432        17.988        43.923         0.920         1.247         0.044         1.550
2005 081 02 00 00.000        21.632       -32.395        17.912        42.875         0.689         1.614        -0.153         1.762
2005 082 02 00 00.000        22.414       -29.827        17.540        41.227         0.423         1.991        -0.368         2.068
2005 083 02 00 00.000        22.783       -26.707        16.844        38.937         0.108         2.386        -0.609         2.465
2005 084 02 00 00.000        22.653       -23.001        15.776        35.932        -0.282         2.812        -0.889         2.963
2005 085 02 00 00.000        21.889       -18.650        14.264        32.100        -0.791         3.289        -1.233         3.600
2005 086 02 00 00.000        20.258       -13.563        12.186        27.255        -1.520         3.843        -1.691         4.465
2005 087 02 00 00.000        17.290        -7.602         9.307        21.056        -2.737         4.513        -2.384         5.791
2005 088 02 00 00.000        11.687        -0.615         5.045        12.745        -5.604         5.192        -3.768         8.518
2005 089 02 00 00.000        -3.298         1.206        -1.707         3.904       -10.763       -13.404        -0.792        17.209
2005 090 02 00 00.000        -5.289       -13.534         1.530        14.611         1.426        -7.158         2.569         7.737
2005 091 02 00 00.000        -2.754       -21.668         4.705        22.343         1.826        -4.411         1.607         5.038
2005 092 02 00 00.000        -0.057       -26.909         6.764        27.746         1.920        -3.007         1.280         3.790
2005 093 02 00 00.000         2.655       -30.483         8.408        31.733         1.877        -2.024         1.021         2.943
2005 094 02 00 00.000         5.260       -32.811         9.709        34.620         1.780        -1.245         0.798         2.314
2005 095 02 00 00.000         7.700       -34.111        10.705        36.572         1.650        -0.578         0.594         1.847
2005 096 02 00 00.000         9.936       -34.508        11.417        37.681         1.495         0.025         0.400         1.548
2005 097 02 00 00.000        11.931       -34.069        11.852        37.994         1.314         0.593         0.207         1.457
2005 098 02 00 00.000        13.645       -32.827        12.007        37.523         1.101         1.151         0.007         1.593
2005 099 02 00 00.000        15.025       -30.780        11.866        36.248         0.844         1.721        -0.207         1.928
2005 100 02 00 00.000        15.997       -27.895        11.401        34.117         0.525         2.326        -0.447         2.426
2005 101 02 00 00.000        16.450       -24.097        10.555        31.027         0.106         3.003        -0.738         3.094
2005 102 02 00 00.000        16.182       -19.246         9.245        26.791        -0.504         3.809        -1.108         3.999
2005 103 02 00 00.000        14.788       -13.077         7.297        21.046        -1.535         4.871        -1.656         5.369
